OlgaardLoggEtAl2008 OlgaardLoggWells2008
oelgaard:2010 OlgaardWells2010
vCertik2009 vCertikothers2009
SolinSegethEtAl2004 vSolinSegethDolevzel2004
AdamGourdinEtAl1980 AdamGourdinNedelecEtAl1980
aho_ullman:1986 AhoSethiUllman1986
AinsworthDemkowiczEtAl2007 AinsworthDemkowiczKim2007
peiro AlastrueyParkerPeiroEtAl2007
AlbertsBrayEtAl2002 AlbertsBrayLewisEtAl2002
AlnaesLoggEtAl2009b AlnaesLoggMardalEtAl2009
AlnaesLoggEtAl2008 AlnaesLoggMardalEtAl2008
AlnaesMardal2009c AlnaesMardal2009
UFL Alnaes2009
AlnaesLoggEtAl2009 AlnaesLoggMardalEtAl2009a
AlnaesMardalEtAl2007 AlnaesMardalSundnes2007
Alperin2006 AlperinMazdaLichtorEtAl2006
ArbogastDawsonEtAl1998 ArbogastDawsonKeenanEtAl1998
ArgeBruasetEtAl1997a ArgeBruasetCalvinEtAl1997
ArgyrisFriedEtAl1968 ArgyrisFriedScharpf1968
ArnoldFalkEtAl2006 ArnoldFalkWinther2006
Arnold2008 ArnoldAwanouWinther2008
ArnoldBrezziEtAl1984 ArnoldBrezziDouglas1984
a-f-w-weak ArnoldFalkWinther2007
ArnoldFalkEtAl2007 ArnoldFalkWinther2007a
acta ArnoldFalkWinther2006a
Arnold2006 ArnoldFalkWinther2006b
ArnoldFalkEtAl2006a ArnoldFalkWinther2006c
ArnoldFalkWinther2006 ArnoldFalkWinther2006d
A-F-W-00 ArnoldFalkWinther2000
A-F-W-98 ArnoldFalkWinther1998
A-F-W-97 ArnoldFalkWinther1997
A-F-W-97Hdiv ArnoldFalkWinther1997a
AsanovicBodikEtAl2006 AsanovicBodikCatanzaroEtAl2006
Author2006 AuthorAuthor2006
AvrahamiRosenfeldEtAl2006 AvrahamiRosenfeldRazEtAl2006
Axe86 AxelssonLindskog1986
Axe86b AxelssonLindskog1986a
a-n AxelssonNeytcheva2003
Babuska71 Babuvska1971
Babuvska1971 Babuvska1971a
Babuska72 BabuvskaAziz1972
Babuska1973 Babuvska1972/73
BabuvskaStrouboulisEtAl1995 BabuvskaStrouboulisUpadhyayEtAl1995
BalayBuschelmanEtAl2004 BalayBuschelmanEijkhoutEtAl2004
BalayBuschelmanEtAl2001 BalayBuschelmanGroppEtAl2001
BalayGroppEtAl1997 BalayGroppMcInnesEtAl1997
BangerthHartmannEtAl2007 BangerthHartmannKanschat2007
BauerFrinkEtAl2000 BauerFrinkKreckel2000
yuri2 BazilevsHsuZhangEtAl2010
SWIG Beazleyothers2009
BeckerCareyEtAl1981 BeckerCareyOden1981
BeckerBurmanEtAl2008 BeckerBurmanHansbo2008
BeckerHansboEtAl2003 BeckerHansboLarson2003
BeckerHansboEtAl2003a BeckerHansboStenberg2003
pyamg BellOlsonSchroder2009
belytschko:1999 BellinSalandinRinaldo1992
OseenAL BenhamCrawfordArmstrong1996
B-G-L-05 BenziGolubLiesen2005
Benzi-acta BenziGolubLiesen2005a
Benzi07 BenziLiu2007
bow09 BenziOlshanskiiWang
b-l BerghLofstrom1976
BinghamMadsenEtAl2008 BinghamMadsenFuhrman2008
BischofCarleEtAl1992 BischofCarleCorlissEtAl1992
BischofHovlandEtAl2002 BischofHovlandNorris2002
semtex Blackburn2009
BlackfordDemmelEtAl2002 BlackfordDemmelDongarraEtAl2002
BluesteinLiEtAl2002 BluesteinLiKrukenkamp2002
BoffiBrezziGastaldi1999 BoffiBrezziGastaldi2000
B-K-K-03 Borz`iKunischKwak2003
Bos1998 Bossavit1998
boussel BousselRayzMcCullochEtAl2008
JHBramble_1993a Bramble1993
B-P-97 BramblePasciak1997
BP88 BramblePasciak1988
b-p-v BramblePasciakVassilevski2000
brezzi-douglas BrezziDouglas1988
Brezzi Brezzi1974
Brezzi1974 Brezzi1974a
BrezziDouglasEtAl1987 BrezziDouglasFortinEtAl1987
BrezziDouglasEtAl1985 BrezziDouglasMarini1985
BrezziDouglasEtAl1985a BrezziDouglasMarini1985a
BrezziFortin BrezziFortin1991
BrezziFortin1991 BrezziFortin1991a
WLBriggs_2000a BriggsHensonMcCormick2000
BrochetYangEtAl2005 BrochetYangMaioEtAl2005
BruasetCaiEtAl1997 BruasetCaiLangtangenEtAl1997
BruasetLangtangenEtAl2006 BruasetLangtangenothers2006
BruasetLangtangenEtAl1997 BruasetLangtangenZumbusch1997
BurmanFern'andez2009 BurmanFernandez2009
BurmanFern'andez2007 BurmanFernandez2007
ButtariDongarraEtAl2007 ButtariDongarraKurzakEtAl2007
ransau CO1951
C-C-88 CahouetChabard1988
CaiAcklamEtAl2003 CaiAcklamLangtangenEtAl2003
CaiLangtangenEtAl2005 CaiLangtangenMoe2005
Cai2 Cai1994
Cai1 Cai1991
Cai-G-P CaiGoldsteinPasciak1993
Canuto07 CanutoHussainiQuarteroniEtAl2007
Canuto88 CanutoHussainiQuarteroniEtAl1988
CaoHuangEtAl2001 CaoHuangRussell2001
casson Casson1959
CastilloKoningEtAl2004 CastilloKoningRiebenEtAl2004
CastilloRiebenEtAl2005 CastilloRiebenWhite2005
cebral CebralCastroBurgessEtAl2005
Certik2009 CertikSeoanePetersonEtAl2009
ChaiGaoEtAl2007 ChaiGaoPanda2007
ChapmanJostEtAl2007 ChapmanJostPas2007
ChazelBenoitEtAl2009 ChazelBenoitErnEtAl2009
chien Chien2007
chorin Chorin1968
ChristieGriffithsEtAl1976 ChristieGriffithsMitchellEtAl1976
transient_dc2 ChudanovPopkovChurbanovEtAl2007
CompereHoffmanEtAl2009 Comp`ereRemacleJanssonEtAl2009
CormenLeisersonEtAl2001 CormenLeisersonRivestEtAl2001
DYakonov DYakonov1961
Dauge Dauge1989
Dav2005 Davidson2005
davies DAVIESREMUZZIGORDONEtAl1986
DavA©DubinskiEtAl1997 DavA©DubinskiHernquist1997
DelfourHagerEtAl1981 DelfourHagerTrochu1981
DiasDyachenkoEtAl2008 DiasDyachenkoZakharov2008
DinizGerbeauEtAl2008 DinizGerbeauBourgat2008
DoneaGiulianiEtAl1982 DoneaGiulianiHalleux1982
DoneaHuertaEtAl2004 DoneaHuertaPonthotEtAl2004
DupontHoffmanEtAl2003 DupontHoffmanJohnsonEtAl2003
eden EdenMeurerSanchezEtAl2008
E-02 Elman2002
E-S-W-text ElmanSilvesterWathen2005
E-S-W-02 ElmanSilvesterWathen2002
Engsig-KarupHesthavenEtAl2006 Engsig-KarupHesthavenBinghamEtAl2006
Enzmann1991 EnzmannPelc1991
ErikssonEstepEtAl1996 ErikssonEstepHansboEtAl1996
ErikssonEstepEtAl1995 ErikssonEstepHansboEtAl1995
ErikssonEstepEtAl2003 ErikssonEstepJohnson2003
ErikssonJohnsonIII ErikssonJohnson
ErikssonJohnson1995c ErikssonJohnson1995b
ErikssonJohnsonEtAl1998 ErikssonJohnsonLarsson1998
ErikssonJohnsonEtAl2004 ErikssonJohnsonLogg2004
ErikssonJohnsonEtAl2004a ErikssonJohnsonLogg2004a
ErikssonJohnsonEtAl2003 ErikssonJohnsonLogg2003
ErikssonJohnsonEtAl2003a ErikssonJohnsonLogg2003a
ErikssonJohnsonEtAl1985 ErikssonJohnsonThomA©e1985
EstepLarsonEtAl2000 EstepLarsonWilliams2000
steinmann EthierSteinmann1994
EvansAJ EvansIwaiGristEtAl1993
Pyrex Ewing2009
Cython EwingBradshawBehnelEtAl2009
falk-survey Falk2008
feigin Feigin2005
FerRaf2002 FernandesRaffetto2002
FickZeeEtAl2008 FickZeeBrummelen2008
fisher:091004 FisherRossmann2009
FlahertyLoyEtAl1997 FlahertyLoyShephardEtAl1997
ford FordAlperinLeeEtAl2005
ForthTadjouddineEtAl2004 ForthTadjouddinePryceEtAl2004
FrancaStenberg FrancaStenberg1991
Franzini-ArmstrongProtasiEtAl1999 Franzini-ArmstrongProtasiRamesh1999
fry FRY1968
fung Fung1984
GammaHelmEtAl1995 GammaHelmJohnsonEtAl1995
GammaHelmEtAl1994 GammaHelmJohnsonEtAl1994
GaraBlumrichEtAl2005 GaraBlumrichChenEtAl2005
ml-guide GeeSiefertHuEtAl2006
german GermanBlack1965
gmsh GeuzaineRemacle
Girault1986 GiraultRaviart1986
Goda197976 Goda1979
GL GolubLoan1989
Greitz1999 GreitzEricsonFlodmark1999
GroppLuskEtAl1999 GroppLuskSkjellum1999
guemin GuermondMinevShen2006
gueshe GuermondShen2003
GuiaSternEtAl2001 GuiaSternLakattaEtAl2001
Gunn Gunn1965
Gupta2009 GuptaSoellingerBoesigerEtAl2009
GustafssonLundhEtAl1988 GustafssonLundhSoderlind1988
Hackbusch Hackbusch1994
HansboHansboEtAl2003 HansboHansboLarson2003
HansboHansboEtAl2003a HansboHansboLarson2003a
HansboHermanssonEtAl2004 HansboHermanssonSvedberg2004
www:sha1 HansenWollman
harten Harten1977
hartkamp HartkampGrond2000
HaugWinther HaugWinther1999
Haughton2003 HaughtonKorosecMedowEtAl2003
HechtPironneauEtAl2005 HechtPironneauHyaricEtAl2005
Heiss1999 HeissPatronasDeVroomEtAl1999
slepc_users_manual HernandezRomanRomeroEtAl2009
HernandezRomanEtAl2005 HernandezRomanVidal2005
HerouxBartlettEtAl2005 HerouxBartlettHowleEtAl2005
HerouxBartlettEtAl2003 HerouxBartlettHoekstraEtAl2003
HS HestenesStiefel1952a
particlelsm HieberKoumoutsakos2005
HinsenLangtangenEtAl2006 HinsenLangtangenSkavhaugEtAl2006
op-prec Hiptmair2006
Hip99 Hiptmair1999
Hip97 Hiptmair1997
Hip-Xu HiptmairXu2007
Hoffman2006b Hoffman2006a
Hoffman2006c Hoffman2006b
HoffmanJanssonEtAl2007 HoffmanJanssonLoggEtAl2007
HoffmanJanssonEtAl HoffmanJanssonLoggEtAl
HoffmanJanssonEtAl2009 HoffmanJanssonStockli2009
HoffmanJohnson2008a HoffmanJohnson2008
HoffmanJohnson2008b HoffmanJohnson2008a
HoffmanJohnson2006b HoffmanJohnson2006a
HoffmanJohnsonEtAl2004 HoffmanJohnsonLogg2004
HoffmanJohnsonEtAl2004b HoffmanJohnsonLogg2004a
